text,real,ml_pred,wazuh_pred
Feb 17 17:28:30 ubuntu-victima sshd[3970]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 32880 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:24:33 ubuntu-victima sshd[3858]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 46518 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:18:33 ubuntu-victima sshd[2363]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 54886 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:04:53 ubuntu-victima sshd[2197]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 54934 ssh2 [preauth]  root ,1,1,0
Feb 17 17:11:01 ubuntu-victima sshd[3454]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 34996 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:25:17 ubuntu-victima sshd[3885]: Failed password for vboxuser from 192.168.1.50 port 50070 ssh2  vboxuser ,1,1,0
Feb 16 18:11:48 ubuntu-victima sshd[2547]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 34880 ssh2 [preauth]  root ,1,1,0
Feb 16 18:21:38 ubuntu-victima sshd[2859]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 37032 ssh2 [preauth]  root ,1,1,0
Feb 17 16:20:22 ubuntu-victima sshd[2415]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 35870 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:42:48 ubuntu-victima sshd[3432]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 44858 ssh2 [preauth]  root ,1,1,0
Feb 16 18:09:45 ubuntu-victima sshd[2498]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 34510 ssh2 [preauth]  root ,1,1,0
Feb 17 13:28:40 ubuntu-victima sshd[4594]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 40478 ssh2 [preauth]  root ,1,1,0
Feb 17 17:02:27 ubuntu-victima sshd[3204]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 48934 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:28:15 ubuntu-victima sshd[3964]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 47490 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:32:45 ubuntu-victima sshd[4097]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 48370 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:13:44 ubuntu-victima sshd[3534]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 57752 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:11:35 ubuntu-victima sshd[3466]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 42078 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:14:33 ubuntu-victima sshd[2657]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 52458 ssh2 [preauth]  root ,1,1,0
Feb 17 16:48:17 ubuntu-victima sshd[2765]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 52894 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:28:12 ubuntu-victima sshd[3960]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 50374 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:53:40 ubuntu-victima sshd[2887]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 40014 ssh2 [preauth]  vboxuser ,1,1,0
